stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
HUBABW,Abbey Wood,,,1,
HUBABW-Outside,Outside Abbey Wood,,,3,HUBABW
HUBABW-1001001-Bus-5,Bus,51.492376,0.121282,3,HUBABW
HUBABW-1001001-EL EB-8,EL EB,51.491282,0.121087,3,HUBABW
HUBABW-1001001-EL WB-9,EL WB,51.491219,0.121084,3,HUBABW
HUBABW-1001001-FELIX-6,FELIX,51.491426,0.120071,3,HUBABW
HUBABW-1001001-HARRO-2,HARRO,51.491628,0.121853,3,HUBABW
HUBABW-1001001-RLY-10,RLY,51.491241,0.121374,3,HUBABW
HUBABW-1001001-RLY-4,RLY,51.491133,0.121383,3,HUBABW
HUBABW-1001001-RPLC-7,RPLC,51.491102,0.121093,3,HUBABW
HUBABW-1001001-RPLD-3,RPLD,51.491156,0.121096,3,HUBABW
HUBABW-1001001-TH-11,TH,51.491024,0.12194,3,HUBABW
HUBABW-1001001-WILTO-1,WILTO,51.49081,0.12131,3,HUBABW
HUBABW-Plat01-WB-national-rail,Westbound Platform 1 ,,,0,HUBABW
HUBABW-Plat02-EB-national-rail,Eastbound Platform 2 ,,,0,HUBABW
HUBABW-Plat03-WB-elizabeth,Westbound Platform 3,,,0,HUBABW
HUBABW-Plat04-WB-elizabeth,Westbound Platform 4,,,0,HUBABW
910GACTNCTL,Acton Central,,,1,
910GACTNCTL-Outside,Outside Acton Central,,,3,910GACTNCTL
910GACTNCTL-1001002-AC-3,AC,51.508624,-0.263507,3,910GACTNCTL
910GACTNCTL-1001002-Bus-1,Bus,51.506514,-0.263717,3,910GACTNCTL
910GACTNCTL-1001002-ENTR-7,ENTR,51.508925,-0.262602,3,910GACTNCTL
910GACTNCTL-1001002-RLY-4,RLY,51.508651,-0.26293,3,910GACTNCTL
910GACTNCTL-1001002-RPL-2,RPL,51.508653,-0.263059,3,910GACTNCTL
910GACTNCTL-1001002-RPL-5,RPL,51.508648,-0.262714,3,910GACTNCTL
910GACTNCTL-1001002-Sub-6,Sub,51.508557,-0.26325,3,910GACTNCTL
910GACTNCTL-Plat01-WB-london-overground,Westbound Platform 1,,,0,910GACTNCTL
910GACTNCTL-Plat02-EB-london-overground,Eastbound Platform 2,,,0,910GACTNCTL
910GACTONML,Acton Main Line,,,1,
910GACTONML-Outside,Outside Acton Main Line,,,3,910GACTONML
910GACTONML-1001003-AC-B-3,AC-B,51.517321,-0.266693,3,910GACTONML
910GACTONML-1001003-AC-S-6,AC-S,51.516801,-0.267362,3,910GACTONML
910GACTONML-1001003-Bus-1,Bus,51.517718,-0.266116,3,910GACTONML
910GACTONML-1001003-RLY-4,RLY,51.516904,-0.26766,3,910GACTONML
910GACTONML-1001003-RPL1-2,RPL1,51.516745,-0.269684,3,910GACTONML
910GACTONML-1001003-RPL2-5,RPL2,51.516935,-0.269735,3,910GACTONML
910GACTONML-Plat03-WB-elizabeth,Westbound Platform 3,,,0,910GACTONML
910GACTONML-Plat04-EB-elizabeth,Eastbound Platform 4,,,0,910GACTONML
910GANERLEY,Anerley,,,1,
910GANERLEY-Outside,Outside Anerley,,,3,910GANERLEY
910GANERLEY-1001007-AcAne-3,AcAne,51.412207,-0.065438,3,910GANERLEY
910GANERLEY-1001007-AcRis-5,AcRis,51.412095,-0.066291,3,910GANERLEY
910GANERLEY-1001007-Bridg-70,Bridg,51.412637,-0.065333,3,910GANERLEY
910GANERLEY-1001007-Bus-1,Bus,51.412058,-0.065674,3,910GANERLEY
910GANERLEY-1001007-RLY-4,RLY,51.412674,-0.065432,3,910GANERLEY
910GANERLEY-1001007-RPL-N-6,RPL-N,51.412514,-0.065525,3,910GANERLEY
910GANERLEY-1001007-RPL-S-2,RPL-S,51.412467,-0.065384,3,910GANERLEY
910GANERLEY-Plat01-NB-london-overground|national-rail,Northbound Platform 1,,,0,910GANERLEY
910GANERLEY-Plat02-SB-london-overground|national-rail,Southbound Platform 2,,,0,910GANERLEY
910GBCKNHMH,Beckenham Hill,,,1,
910GBCKNHMH-Outside,Outside Beckenham Hill,,,3,910GBCKNHMH
910GBCKNHMH-1001017-Bus-1,Bus,51.423754,-0.014894,3,910GBCKNHMH
910GBCKNHMH-1001017-EntM-6,EntM,51.424803,-0.015812,3,910GBCKNHMH
910GBCKNHMH-1001017-EntS-5,EntS,51.424462,-0.016359,3,910GBCKNHMH
910GBCKNHMH-1001017-FBdg-7,FBdg,51.424739,-0.016275,3,910GBCKNHMH
910GBCKNHMH-1001017-RLY-4,RLY,51.424641,-0.016308,3,910GBCKNHMH
910GBCKNHMH-1001017-RPL-N-2,RPL-N,51.424734,-0.016505,3,910GBCKNHMH
910GBCKNHMH-1001017-RPL-S-3,RPL-S,51.424827,-0.016171,3,910GBCKNHMH
910GBCKNHMH-Plat01-NB-national-rail,Northbound Platform 1,,,0,910GBCKNHMH
910GBCKNHMH-Plat02-SB-national-rail,Southbound Platform 2,,,0,910GBCKNHMH
910GBELNGHM,Bellingham,,,1,
910GBELNGHM-Outside,Outside Bellingham,,,3,910GBELNGHM
910GBELNGHM-1001019-Entr-4,Entr,51.432779,-0.01948,3,910GBELNGHM
910GBELNGHM-1001019-FBdg-5,FBdg,51.432866,-0.019333,3,910GBELNGHM
910GBELNGHM-1001019-RLY-3,RLY,51.433874,-0.02044,3,910GBELNGHM
910GBELNGHM-1001019-RPL N-1,RPL N,51.432951,-0.019531,3,910GBELNGHM
910GBELNGHM-1001019-RPL S-2,RPL S,51.432993,-0.019356,3,910GBELNGHM
910GBELNGHM-Plat01-NB-national-rail,Northbound Platform 1,,,0,910GBELNGHM
910GBELNGHM-Plat02-SB-national-rail,Southbound Platform 2,,,0,910GBELNGHM
910GBHILLPK,Bush Hill Park,,,1,
910GBHILLPK-Outside,Outside Bush Hill Park,,,3,910GBHILLPK
910GBHILLPK-1001042-BRDGE-7,BRDGE,51.6413,-0.069158,3,910GBHILLPK
910GBHILLPK-1001042-Bus-4,Bus,51.641389,-0.068562,3,910GBHILLPK
910GBHILLPK-1001042-EntrM-2,EntrM,51.641621,-0.069,3,910GBHILLPK
910GBHILLPK-1001042-EntrQ-6,EntrQ,51.64137,-0.069618,3,910GBHILLPK
910GBHILLPK-1001042-RLY-3,RLY,51.641517,-0.069221,3,910GBHILLPK
910GBHILLPK-1001042-RPL-N-1,RPL-N,51.641829,-0.069613,3,910GBHILLPK
910GBHILLPK-1001042-RPL-S-5,RPL-S,51.641872,-0.069466,3,910GBHILLPK
910GBHILLPK-Plat01-SB-london-overground,Southbound Platform 1,,,0,910GBHILLPK
910GBHILLPK-Plat02-NB-london-overground,Northbound Platform 2,,,0,910GBHILLPK
910GBICKLEY,Bickley,,,1,
910GBICKLEY-Outside,Outside Bickley,,,3,910GBICKLEY
910GBICKLEY-1001026-Bus-3,Bus,51.399044,0.046645,3,910GBICKLEY
910GBICKLEY-1001026-Entr-5,Entr,51.40012,0.045241,3,910GBICKLEY
910GBICKLEY-1001026-RLY-4,RLY,51.400106,0.045025,3,910GBICKLEY
910GBICKLEY-1001026-RPL1-1,RPL1,51.400046,0.044864,3,910GBICKLEY
910GBICKLEY-1001026-RPL2-2,RPL2,51.400145,0.044854,3,910GBICKLEY
910GBICKLEY-Plat01-NB-national-rail,Northbound Platform 1,,,0,910GBICKLEY
910GBICKLEY-Plat02-SB-national-rail,Southbound Platform 2,,,0,910GBICKLEY
910GBICKLEY-Plat03-NB-national-rail,Northbound Platform 3,,,0,910GBICKLEY
910GBICKLEY-Plat04-SB-national-rail,Southbound Platform 4,,,0,910GBICKLEY
910GBNHAM,Burnham,,,1,
910GBNHAM-Outside,Outside Burnham,,,3,910GBNHAM
910GBNHAM-1000860-Bus-91,Bus,51.523412,-0.646232,3,910GBNHAM
910GBNHAM-1000860-Entr-90,Entr,51.523397,-0.646478,3,910GBNHAM
910GBNHAM-1000860-RLY-3,RLY,51.523504,-0.646374,3,910GBNHAM
910GBNHAM-1000860-RPL E-1,RPL E,51.523504,-0.646374,3,910GBNHAM
910GBNHAM-1000860-RPL W-2,RPL W,51.523321,-0.646091,3,910GBNHAM
910GBNHAM-1000860-UP-4,UP,51.523229,-0.64595,3,910GBNHAM
910GBNHAM-Plat01-WB-elizabeth|national-rail,Westbound Platform 1,,,0,910GBNHAM
910GBNHAM-Plat02-EB-elizabeth|national-rail,Eastbound Platform 2,,,0,910GBNHAM
910GBRBY,Brondesbury,,,1,
910GBRBY-Outside,Outside Brondesbury,,,3,910GBRBY
910GBRBY-1001038-Bus-1,Bus,51.545365,-0.201955,3,910GBRBY
910GBRBY-1001038-Entr-3,Entr,51.545248,-0.20193,3,910GBRBY
910GBRBY-1001038-RLY-4,RLY,51.545194,-0.202495,3,910GBRBY
910GBRBY-1001038-RPL-E-2,RPL-E,51.545087,-0.202571,3,910GBRBY
910GBRBY-1001038-RPL-W-5,RPL-W,51.54505,-0.202515,3,910GBRBY
910GBRBY-Plat01-WB-london-overground,Westbound Platform 1,,,0,910GBRBY
910GBRBY-Plat02-EB-london-overground,Eastbound Platform 2,,,0,910GBRBY
910GBRBYPK,Brondesbury Park,,,1,
910GBRBYPK-Outside,Outside Brondesbury Park,,,3,910GBRBYPK
910GBRBYPK-1001039-BUS-3,BUS,51.540671,-0.209581,3,910GBRBYPK
910GBRBYPK-1001039-Entr-2,Entr,51.540928,-0.209902,3,910GBRBYPK
910GBRBYPK-1001039-RLY-4,RLY,51.540343,-0.210502,3,910GBRBYPK
910GBRBYPK-1001039-RPL-E-5,RPL-E,51.540814,-0.210137,3,910GBRBYPK
910GBRBYPK-1001039-RPL-W-1,RPL-W,51.540732,-0.210054,3,910GBRBYPK
910GBRBYPK-Plat01-WB-london-overground,Westbound Platform 1,,,0,910GBRBYPK
910GBRBYPK-Plat02-EB-london-overground,Eastbound Platform 2,,,0,910GBRBYPK
910GBRENTX,Brent Cross West Station,,,1,
910GBRENTX-Outside,Outside Brent Cross West Station,,,3,910GBRENTX
910GBRENTX-1002310-BusE-9,BusE,51.568218,-0.22401,3,910GBRENTX
910GBRENTX-1002310-BusW-1,BusW,51.567797,-0.226465,3,910GBRENTX
910GBRENTX-1002310-EML-11,EML,51.568173,-0.225152,3,910GBRENTX
910GBRENTX-1002310-EntE-6,EntE,51.568444,-0.224102,3,910GBRENTX
910GBRENTX-1002310-EntW-7,EntW,51.567928,-0.226215,3,910GBRENTX
910GBRENTX-1002310-FB-8,FB,51.568173,-0.225152,3,910GBRENTX
910GBRENTX-1002310-RLY-5,RLY,51.568172,-0.225094,3,910GBRENTX
910GBRENTX-1002310-RPL1-2,RPL1,51.568285,-0.224873,3,910GBRENTX
910GBRENTX-1002310-RPL2-3,RPL2,51.567935,-0.224887,3,910GBRENTX
910GBRENTX-1002310-RPL3-4,RPL3,51.567872,-0.224889,3,910GBRENTX
910GBRENTX-1002310-RPL4-10,RPL4,51.567378,-0.224909,3,910GBRENTX
910GBRENTX-Plat01-SB-national-rail,Southbound Platform 1 ,,,0,910GBRENTX
910GBRENTX-Plat02-NB-national-rail,Northbound Platform 2,,,0,910GBRENTX
910GBRENTX-Plat03-SB-national-rail,Southbound Platform 3,,,0,910GBRENTX
910GBRENTX-Plat04-NB-national-rail,Northbound Platform 4,,,0,910GBRENTX
910GBROCKLY,Brockley,,,1,
910GBROCKLY-Outside,Outside Brockley,,,3,910GBROCKLY
910GBROCKLY-1001035-Brdge-7,Brdge,51.464196,-0.037988,3,910GBROCKLY
910GBROCKLY-1001035-Bus-4,Bus,51.463879,-0.036216,3,910GBROCKLY
910GBROCKLY-1001035-CEntr-2,CEntr,51.464458,-0.037516,3,910GBROCKLY
910GBROCKLY-1001035-MEntr-5,MEntr,51.464344,-0.038241,3,910GBROCKLY
910GBROCKLY-1001035-RLY-3,RLY,51.464209,-0.038232,3,910GBROCKLY
