Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
TH2,NO2,01/01/2019 00:00,54.1,ug m-3,R
TH2,NO2,01/01/2019 01:00,54.7,ug m-3,R
TH2,NO2,01/01/2019 02:00,45.7,ug m-3,R
TH2,NO2,01/01/2019 03:00,45,ug m-3,R
TH2,NO2,01/01/2019 04:00,48,ug m-3,R
TH2,NO2,01/01/2019 05:00,50,ug m-3,R
TH2,NO2,01/01/2019 06:00,50.6,ug m-3,R
TH2,NO2,01/01/2019 07:00,46.2,ug m-3,R
TH2,NO2,01/01/2019 08:00,43.2,ug m-3,R
TH2,NO2,01/01/2019 09:00,41.3,ug m-3,R
TH2,NO2,01/01/2019 10:00,46.5,ug m-3,R
TH2,NO2,01/01/2019 11:00,42.2,ug m-3,R
TH2,NO2,01/01/2019 12:00,40,ug m-3,R
TH2,NO2,01/01/2019 13:00,40.5,ug m-3,R
TH2,NO2,01/01/2019 14:00,37.2,ug m-3,R
TH2,NO2,01/01/2019 15:00,43.7,ug m-3,R
TH2,NO2,01/01/2019 16:00,47.7,ug m-3,R
TH2,NO2,01/01/2019 17:00,45.2,ug m-3,R
TH2,NO2,01/01/2019 18:00,52.1,ug m-3,R
TH2,NO2,01/01/2019 19:00,62.4,ug m-3,R
TH2,NO2,01/01/2019 20:00,51.3,ug m-3,R
TH2,NO2,01/01/2019 21:00,48.2,ug m-3,R
TH2,NO2,01/01/2019 22:00,38.4,ug m-3,R
TH2,NO2,01/01/2019 23:00,47.3,ug m-3,R
TH2,NO2,02/01/2019 00:00,41.3,ug m-3,R
TH2,NO2,02/01/2019 01:00,43.5,ug m-3,R
TH2,NO2,02/01/2019 02:00,42.5,ug m-3,R
TH2,NO2,02/01/2019 03:00,31.9,ug m-3,R
TH2,NO2,02/01/2019 04:00,36.9,ug m-3,R
TH2,NO2,02/01/2019 05:00,40.5,ug m-3,R
TH2,NO2,02/01/2019 06:00,55.6,ug m-3,R
TH2,NO2,02/01/2019 07:00,67.2,ug m-3,R
TH2,NO2,02/01/2019 08:00,63,ug m-3,R
TH2,NO2,02/01/2019 09:00,71.9,ug m-3,R
TH2,NO2,02/01/2019 10:00,68.9,ug m-3,R
TH2,NO2,02/01/2019 11:00,68.3,ug m-3,R
TH2,NO2,02/01/2019 12:00,70.8,ug m-3,R
TH2,NO2,02/01/2019 13:00,73.8,ug m-3,R
TH2,NO2,02/01/2019 14:00,79.5,ug m-3,R
TH2,NO2,02/01/2019 15:00,82,ug m-3,R
TH2,NO2,02/01/2019 16:00,79.8,ug m-3,R
TH2,NO2,02/01/2019 17:00,80.3,ug m-3,R
TH2,NO2,02/01/2019 18:00,83,ug m-3,R
TH2,NO2,02/01/2019 19:00,80.3,ug m-3,R
TH2,NO2,02/01/2019 20:00,80.7,ug m-3,R
TH2,NO2,02/01/2019 21:00,69.1,ug m-3,R
TH2,NO2,02/01/2019 22:00,68.9,ug m-3,R
TH2,NO2,02/01/2019 23:00,74.4,ug m-3,R
TH2,NO2,03/01/2019 00:00,64.3,ug m-3,R
TH2,NO2,03/01/2019 01:00,55.8,ug m-3,R
TH2,NO2,03/01/2019 02:00,58.2,ug m-3,R
TH2,NO2,03/01/2019 03:00,59.9,ug m-3,R
TH2,NO2,03/01/2019 04:00,51.6,ug m-3,R
TH2,NO2,03/01/2019 05:00,60.7,ug m-3,R
TH2,NO2,03/01/2019 06:00,64.4,ug m-3,R
TH2,NO2,03/01/2019 07:00,73,ug m-3,R
TH2,NO2,03/01/2019 08:00,91.1,ug m-3,R
TH2,NO2,03/01/2019 09:00,93.7,ug m-3,R
TH2,NO2,03/01/2019 10:00,93.5,ug m-3,R
TH2,NO2,03/01/2019 11:00,100.7,ug m-3,R
TH2,NO2,03/01/2019 12:00,94.2,ug m-3,R
TH2,NO2,03/01/2019 13:00,100.4,ug m-3,R
TH2,NO2,03/01/2019 14:00,83.7,ug m-3,R
TH2,NO2,03/01/2019 15:00,83.8,ug m-3,R
TH2,NO2,03/01/2019 16:00,73.6,ug m-3,R
TH2,NO2,03/01/2019 17:00,79,ug m-3,R
TH2,NO2,03/01/2019 18:00,69.9,ug m-3,R
TH2,NO2,03/01/2019 19:00,79.5,ug m-3,R
TH2,NO2,03/01/2019 20:00,81,ug m-3,R
TH2,NO2,03/01/2019 21:00,75.5,ug m-3,R
TH2,NO2,03/01/2019 22:00,74.8,ug m-3,R
TH2,NO2,03/01/2019 23:00,70.8,ug m-3,R
TH2,NO2,04/01/2019 00:00,67.9,ug m-3,R
TH2,NO2,04/01/2019 01:00,66.8,ug m-3,R
TH2,NO2,04/01/2019 02:00,63.3,ug m-3,R
TH2,NO2,04/01/2019 03:00,60.1,ug m-3,R
