Linea,Orden,Nombre_Parada,ID_Parada,Lat,Lon
1,1,Royal Free Hospital,490011760D,51.55395,-0.16551
1,2,Rosslyn Hill,490011714E,51.55344,-0.16829
1,3,Haverstock Hill / Pond Street,490015255F,51.55227,-0.1673
1,4,Belsize Park Station,490000020L,51.55075,-0.16519
1,5,Downside Crescent,490006180S,51.55003,-0.16387
1,6,Upper Park Road,490013939S,51.54875,-0.16172
1,7,Haverstock Hill / Steele's Village,490012664S,51.54644,-0.1572
1,8,Chalk Farm Road / Morrisons,490004963CE,51.54311,-0.14974
1,9,Camden Market,490002364ZH,51.54264,-0.14761
1,10,Hawley Road,490007927M,51.54288,-0.14355
1,11,Camden Gardens,490004713D,51.54197,-0.14103
1,12,Camden Town Station / Camden Street,490000036R,51.54,-0.14063
1,13,Camden Town Station  / Bayham Street,490015531T,51.53867,-0.14092
1,14,Pratt Street,490011168S1,51.53696,-0.13933
1,15,Mornington Cres Stn / Camden Tn Library,490000152G,51.53414,-0.1381
1,16,Aldenham Street,490003174S,51.53199,-0.13576
1,17,Euston Station,490000077B,51.52861,-0.13213
1,18,Upper Woburn Place,490012867M,51.52681,-0.13011
1,19,Tavistock Square,490013170S,51.5249,-0.12806
1,20,Russell Square Station,490000200J,51.52335,-0.12629
1,21,Southampton Row,490005624S,51.52105,-0.12349
1,22,Southampton Row / Theobald's Road,490013477A,51.51851,-0.12062
1,23,Kingsway / Holborn Station,490000112M,51.51674,-0.11976
1,24,Aldwych / Drury Lane,490019703Z,51.51226,-0.11881
1,25,Waterloo Bridge / South Bank,490014271N,51.5065,-0.11492
1,26,Waterloo Station   / Waterloo Road,490000254E,51.50359,-0.11143
1,27,The Old Vic,490013485S1,51.50134,-0.10875
1,28,St George's Circus,490012693S2,51.49916,-0.10628
1,29,Elephant & Castle  / London Road,490009281E,51.4961,-0.10133
1,30,Elephant & Castle / New Kent Road,490000073K,51.49506,-0.09871
1,31,Rodney Place,490011632BA,51.49422,-0.09444
1,32,Bricklayer's Arms / New Kent Road,490003658BC,51.49441,-0.08769
1,33,Bricklayer's Arms / Tower Bridge Road,490004315BH,51.49563,-0.08346
1,34,Grigg's Place,490007533E,51.49643,-0.08067
1,35,Fendall Street,490006792E,51.49568,-0.07824
1,36,Spa Road,490012367E,51.49482,-0.07619
1,37,Alscot Road,490003275E,51.49368,-0.07436
1,38,Harris Academy,490003533E,51.4928,-0.07112
1,39,Southwark Park Road / St James's Road,490012353E,51.49237,-0.06566
1,40,Anchor Street,490003311E,51.49217,-0.06139
1,41,Lynton Road,490009482S,51.49057,-0.0599
1,42,Galleywall Road / South Bermondsey Stn,490007086B,51.48904,-0.05804
1,43,Beamish House,490003716E,51.48961,-0.0564
1,44,Corbetts Lane,490005603E,51.49094,-0.05318
1,45,Warndon Street,490014228E,51.49112,-0.05053
1,46,Surrey Quays Station,490000229O,51.49285,-0.04792
1,47,Gomm Road,490011723P,51.49545,-0.05137
1,48,Canada Water Bus Station,490004733D,51.49814,-0.04994
100,1,King Edward Street / St Pauls Station,490008743N,51.51655,-0.09864
100,2,Little Britain,49008743N1,51.51761,-0.09807
100,3,London Wall,490010130E,51.51758,-0.09519
100,4,London Wall / Moorgate Station,490015208A,51.51758,-0.08975
100,5,All Hallows Church,490003172A,51.51669,-0.08478
100,6,Wormwood Street,490004043P,51.51631,-0.08225
100,7,St Botolph Street,490000003B,51.51495,-0.07514
100,8,Aldgate Station,490000003R,51.51408,-0.07493
100,9,Minories,490005818K,51.51275,-0.07556
100,10,Tower Hill / Tower Gateway Station,490015074Z,51.50981,-0.07308
100,11,St Katharine Docks,490014944E,51.50844,-0.07168
100,12,The Highway,490014016S,51.50861,-0.06729
100,13,Nesham Street,490010178S,51.5069,-0.06649
100,14,Hermitage Wall,490008089E,51.50522,-0.06497
100,15,Sampson Street,490014210E,51.50391,-0.06366
100,16,Dundee Street,490006246E,51.50337,-0.06061
100,17,Wapping Station,490014208E,51.50397,-0.05678
100,18,Wapping Health Centre,490014209N,51.50581,-0.05868
100,19,Tobacco Dock,490013687K,51.50934,-0.05886
100,20,St Paul's Church,490012457E,51.5098,-0.05318
100,21,Glamis Place,490007207N,51.51021,-0.05051
100,22,King David Lane,490008734W,51.51068,-0.05284
100,23,Shadwell Station,490000202A,51.51097,-0.05554
100,24,St George's Town Hall / Shadwell Stn,490012020A,51.51104,-0.05856
101,1,Woodbine Place,490014816E,51.57695,0.02679
101,2,Wanstead High St / Wanstead Station,490000250D,51.57675,0.02739
101,3,Wanstead Station  / George Green,490015125C,51.57494,0.02653
101,4,Felstead Road,490006778S,51.57242,0.02364
101,5,Bush Road,490004653S,51.57041,0.02355
101,6,Blake Hall Crescent,490004087S,51.56585,0.02494
101,7,Queenswood Gardens,490011372S,51.56409,0.02575
101,8,Park Road,490010812E,51.56303,0.03195
101,9,Herongate Road,490008095S,51.562,0.03562
101,10,Empress Avenue,490006566S,51.56102,0.03756
101,11,Merlin Road,490009816S,51.56018,0.03923
101,12,City of London Cemetery,490014205S,51.55866,0.04258
101,13,Capel Road,490004769Z,51.55451,0.04651
101,14,Manor Park Station,490001189S,51.55283,0.04665
101,15,Romford Road,490011661S,51.5514,0.04727
101,16,Cranbourne Road,490005694D,51.54968,0.04828
101,17,Berkeley Road,490003921S,51.54649,0.04884
101,18,Ruskin Avenue,490011801S1,51.54537,0.04944
101,19,Shelley Avenue,490012058S1,51.54345,0.04993
101,20,Gladstone Avenue,490007200F,51.54155,0.05057
101,21,East Ham Station,490000068A,51.54003,0.05097
101,22,Bendish Road,490003888N,51.53754,0.05171
101,23,Ron Leighton Way,490011001M,51.53553,0.05136
101,24,High Street North,490006360R,51.53292,0.05309
101,25,Newham Town Hall,490010218V,51.53188,0.05529
101,26,Market Street,490009662S,51.53059,0.0559
101,27,East Ham / Central Park,490006358S1,51.52739,0.05636
101,28,Vicarage Lane,490014040S,51.52517,0.05708
101,29,East Ham Fire Station,490006359S,51.52365,0.05755
101,30,Lonsdale Avenue,490009348S,51.52124,0.05849
101,31,Albatross Close,490003747S,51.51844,0.05995
101,32,Tollgate Road,490013691E,51.51648,0.06042
101,33,Beckton Bus Station,490006317A,51.51407,0.0597
102,1,Edmonton Green Bus Station,490009983G,51.62541,-0.059
102,2,Edmonton Police Station,490006445A,51.62265,-0.06135
102,3,Shrubbery Road,490011968S,51.62113,-0.06179
102,4,Brettenham Road,490010801G,51.61787,-0.06316
102,5,Angel Corner,490015189D,51.61669,-0.0636
102,6,Angel Corner / Silver Street Station,490003324A,51.61458,-0.06557
102,7,Pymmes Park,490010388N,51.61521,-0.0721
102,8,North Middlesex Hospital,490009357P,51.61622,-0.07729
102,9,Millfield Theatre & Arts Centre,490015617W,51.61663,-0.08026
102,10,Cambridge Roundabout / East Side,490013440W,51.61603,-0.08582
102,11,Cambridge Roundabout / West Side,490004712W2,51.61618,-0.08842
102,12,Ulster Gardens,490013893W,51.61609,-0.09181
102,13,Chequers Way,490005091W,51.61594,-0.09496
102,14,Melville Gardens,490009800W,51.61389,-0.1031
102,15,Palmers Green / Green Lanes,490007476V,51.61252,-0.1071
102,16,Palmerston Road,490007476W,51.6123,-0.11096
102,17,Pymmes Road,490003564W,51.61232,-0.11795
102,18,Bowes Road,490004490S,51.61209,-0.12173
102,19,York Road,490015014S,51.60963,-0.12276
102,20,Bounds Green Station,490000028D,51.60754,-0.12365
