Linea,Estacion,Orden,ID_Estacion,Lat,Lon,Zona
Bakerloo,,1,940GZZLUEAC,51.494536,-0.100606,N/A
Bakerloo,,2,940GZZLULBN,51.498808,-0.112315,N/A
Bakerloo,,3,940GZZLUWLO,51.503299,-0.11478,N/A
Bakerloo,,4,940GZZLUEMB,51.507058,-0.122666,N/A
Bakerloo,,5,940GZZLUCHX,51.50741,-0.127277,N/A
Bakerloo,,6,940GZZLUPCC,51.51005,-0.133798,N/A
Bakerloo,,7,940GZZLUOXC,51.515224,-0.141903,N/A
Bakerloo,,8,940GZZLURGP,51.523344,-0.146444,N/A
Bakerloo,,9,940GZZLUBST,51.522883,-0.15713,N/A
Bakerloo,,10,940GZZLUMYB,51.522322,-0.163207,N/A
Bakerloo,,11,940GZZLUERB,51.520299,-0.17015,N/A
Bakerloo,,12,940GZZLUPAC,51.516581,-0.175689,N/A
Bakerloo,,13,940GZZLUWKA,51.523263,-0.183783,N/A
Bakerloo,,14,940GZZLUMVL,51.529777,-0.185758,N/A
Bakerloo,,15,940GZZLUKPK,51.534979,-0.194232,N/A
Bakerloo,,16,940GZZLUQPS,51.534158,-0.204574,N/A
Bakerloo,,17,940GZZLUKSL,51.530539,-0.225016,N/A
Bakerloo,,18,940GZZLUWJN,51.532259,-0.244283,N/A
Bakerloo,,19,940GZZLUHSN,51.53631,-0.257883,N/A
Bakerloo,,20,940GZZLUSGP,51.543959,-0.275892,N/A
Bakerloo,,21,940GZZLUWYC,51.552304,-0.296852,N/A
Bakerloo,,22,940GZZLUNWY,51.562551,-0.304,N/A
Bakerloo,,23,940GZZLUSKT,51.570232,-0.308433,N/A
Bakerloo,,24,940GZZLUKEN,51.581756,-0.31691,N/A
Bakerloo,,25,940GZZLUHAW,51.592268,-0.335217,N/A
Central,,1,940GZZLUWRP,51.569688,-0.437886,N/A
Central,,2,940GZZLURSG,51.560736,-0.41071,N/A
Central,,3,940GZZLUSRP,51.556853,-0.398915,N/A
Central,,4,940GZZLUNHT,51.548236,-0.368699,N/A
Central,,5,940GZZLUGFD,51.542424,-0.34605,N/A
Central,,6,940GZZLUPVL,51.536717,-0.323446,N/A
Central,,7,940GZZLUHGR,51.530177,-0.292704,N/A
Central,,8,940GZZLUNAN,51.523524,-0.259755,N/A
Central,,9,940GZZLUMBA,51.513424,-0.158953,N/A
Central,,10,940GZZLUBND,51.514304,-0.149723,N/A
Central,,11,940GZZLUOXC,51.515224,-0.141903,N/A
Central,,12,940GZZLUTCR,51.516426,-0.13041,N/A
Central,,13,940GZZLUHBN,51.51758,-0.120475,N/A
Central,,14,940GZZLUCHL,51.518247,-0.111583,N/A
